Protein	14F	14F	17F	23M	25M	28M	36M	37M	39M	43M	44M	45F	45M	47M	48M	49F	50F	52F	59M	66M
A6NHL2	88122400.0	68844500.0	49008700.0	60546000.0	31615800.0	106479000.0	120114000.0	116742000.0	85434300.0	95021500.0	80560700.0	77824200.0	53852400.0	69061200.0	75981200.0	89991400.0	98293100.0	64231300.0	78628400.0	50148700.0
A6NHQ2										18882400.0		11237300.0		1836060.0			5125130.0	6276020.0		
A6NHR9	12848300.0	21826700.0	85693200.0	10868900.0	67589400.0	111331000.0	34095400.0	5071070.0	5476450.0	6606330.0	28436900.0	9431540.0	3590960.0	42166100.0	85518400.0	3169750.0	12244700.0	48736800.0	60762300.0	58991100.0
A6NHX0							5776670.0	2143980.0										4520.05		
A6NI28	460045.0	706354.0	17403.6	21500.1	788228.0	24584200.0	2269550.0	9819590.0	174119.0	8201390.0	1191810.0	6118350.0	2330630.0	1536410.0		10600800.0	768705.0	1335840.0	2394600.0	860924.0
A6NI56																49919100.0				
A6NI72;A8MVU1;P14598	6332620.0	383459.0												3325720.0						
A6NI72;P14598			5385530.0	4991210.0	2132080.0	10727200.0	2140870.0		24619500.0	11774600.0	2569000.0		3139190.0		7839050.0	4323950.0	4674700.0	6679020.0	27987900.0	9345000.0
A6NI73																		4224780.0		
A6NI79	12273200.0	43094800.0	5970630.0	61252800.0	24905700.0	27788300.0	11996600.0	11892300.0	4838080.0	42747500.0	21940700.0	12885000.0	5087940.0	2861570.0	7689510.0	24392500.0	12607500.0	5671810.0	3653910.0	118218000.0
A6NIE6;Q9NYV6								1012500.0	14178.1						441669.0		17957.1			
A6NIH7	28347000.0	5127960.0	2927180.0	2846060.0	4686590.0	11675000.0	17420900.0	12072400.0	24049600.0	17957400.0	4828590.0	18567900.0	18114500.0	11218900.0	19959400.0	21373300.0	21931100.0	16337600.0	19903600.0	5095590.0
A6NJ78	5835640.0	14700800.0	16245000.0	11273800.0	41181600.0	21105700.0	16873400.0	22121600.0	26732000.0	22556800.0	17292200.0	58288800.0	1820130.0	14016900.0	18845600.0	1642180.0	1048820.0	21858500.0	16469100.0	12238100.0
A6NJG2						1467680.0														
A6NK44	13041400.0	3756380.0	26933500.0	6021660.0	18697600.0	6019400.0	8459010.0	14799700.0	18142900.0	16864800.0	11177200.0	17952000.0	14657900.0	20863200.0	12138900.0	12268300.0	15069400.0	61255100.0	18513900.0	21537000.0
A6NK58	53838400.0	61147000.0	47666600.0	64155300.0	50802200.0	43282000.0	109939000.0	211071000.0	146047000.0	49919700.0	7852210.0	38247200.0	117850000.0	61815000.0	22463900.0	45879600.0	721137000.0	41525000.0	68723600.0	52685000.0
A6NKD2											4666030.0									
A6NKD9	10820700.0	1601530.0	1067370.0	11921700.0	5363670.0	8718310.0	14258600.0	11780600.0	6897020.0	11353900.0	28331900.0	11492100.0	3608900.0	7098850.0	15026900.0	5252530.0	7786340.0	10054900.0	6649140.0	2520480.0
A6NLP5	61435000.0	88031800.0	83679700.0	75545800.0	101347000.0	25455600.0	68822600.0	25202600.0	77419000.0	179220000.0	69865700.0	87009500.0	112188000.0	87671800.0	57889800.0	123220000.0	108905000.0	78189000.0	107770000.0	75079800.0
A6NM11;A6NMS7							1193950.0													
A6NMZ7	38509800.0	32559600.0	52705200.0	42294000.0	31465600.0	20129900.0	12164500.0	55188500.0	92042000.0	13741400.0	45629900.0	43411000.0	38435900.0	10014900.0	257938000.0	26753700.0	98946700.0	59507500.0	62657800.0	9583.37
A6NNL5	1071400.0																			
A6NNY8;Q9UPT9															537765.0					
A6PVS8																	4182790.0	4973910.0	3194460.0	4709660.0
